,gen,importancia
426,Glyma.U031128,0.0003914873859208996
427,Glyma.02G197350,0.0003903429917942011
428,Glyma.16G113700,0.0003898408608966612
429,Glyma.12G042200,0.000389693018325594
430,Glyma.19G166000,0.0003890853839000334
431,Glyma.18G160700,0.0003890737092844977
432,Glyma.07G216000,0.00038820795254201505
433,Glyma.07G264450,0.0003855510187361868
434,Glyma.20G082500,0.00038549768911479783
435,Glyma.13G060500,0.000385060128393196
436,Glyma.20G034801,0.00038433573603919576
437,Glyma.01G057900,0.00038394270188634095
438,Glyma.20G002500,0.00038365298676299695
439,Glyma.19G249700,0.00037896570918744546
440,Glyma.10G088100,0.00037811143195912893
441,Glyma.10G045200,0.0003766246262242846
442,Glyma.08G081801,0.000375046006735701
443,Glyma.08G078800,0.0003741592470059306
444,Glyma.14G040850,0.00037382699891969334
445,Glyma.08G243550,0.0003714032550362738
446,Glyma.13G096950,0.00037120943540762597
447,Glyma.06G265440,0.00036924791182475086
448,Glyma.17G134400,0.00036751230915093983
449,Glyma.14G020800,0.00036709703611304895
450,Glyma.16G027800,0.00036699903460406344
451,Glyma.09G159100,0.00036680233401395295
452,Glyma.09G149700,0.00036445241700555213
453,Glyma.04G214300,0.00036399505821016237
454,Glyma.19G183900,0.00036194508157285954
455,Glyma.19G190500,0.0003607592844637903
456,Glyma.09G141900,0.0003565731018431138
457,Glyma.07G187900,0.0003559213426801875
458,Glyma.13G071000,0.00035474065525793204
459,Glyma.14G170500,0.00035471418566854527
460,Glyma.09G198950,0.000353603353483765
