,0
1031,SAMN02597099
1032,SAMN02597101
1033,SAMN02597103
1034,SAMN02597105
1035,SAMN02644817
1036,SAMN02644818
1037,SAMN02644819
1038,SAMN02644820
1039,SAMN02644821
1040,SAMN02644822
1041,SAMN02849414
1042,SAMN02849415
1043,SAMN12210911
1044,SAMN09690609
1045,SAMN09690610
1046,SAMN09690614
1047,SAMN09690615
1048,SAMN09690619
1049,SAMN09690620
1050,SAMN09690624
1051,SAMN09690625
1052,SAMN11461629
1053,SAMN11461630
1054,SAMN11461631
1055,SAMN11461632
1056,SAMN11461633
1057,SAMN11461634
1058,SAMN11461635
1059,SAMN11461636
1060,SAMN11461637
1061,SAMN11461638
1062,SAMN16826251
1063,SAMN16826262
1064,SAMN16826263
1065,SAMN16826266
1066,SAMN16826267
1067,SAMN16826269
1068,SAMN16826270
1069,SAMN16826271
1070,SAMN16826273
1071,SAMN16826274
1072,SAMN16826276
1073,SAMN16826277
1074,SAMN19588561
1075,SAMN19588562
1076,SAMN20525558
1077,SAMN20525559
1078,SAMN25263480
1079,SAMN25263481
1080,SAMN25263482
1081,SAMN25263483
1082,SAMN25263484
1083,SAMN25263485
1084,SAMN25263486
1085,SAMN25263487
1086,SAMN25263488
1087,SAMN25263489
1088,SAMN25263490
1089,SAMN25263491
1090,SAMN25263492
1091,SAMN25263493
1092,SAMN25263494
1093,SAMN25263495
1094,SAMN25263496
1095,SAMN25263497
1096,SAMN25263498
1097,SAMN25263499
1098,SAMN25263500
1099,SAMN25263501
1100,SAMN25263502
1101,SAMN25263503
1102,SAMN25263504
1103,SAMN25263505
1104,SAMN25263506
1105,SAMN25263507
1106,SAMN25263508
1107,SAMN25263509
1108,SAMN25263510
1109,SAMN25263511
1110,SAMN25263512
1111,SAMN25263513
1112,SAMN25263514
1113,SAMN25263515
1114,SAMN25263516
1115,SAMN25263517
1116,SAMN25263518
1117,SAMN25263519
1118,SAMN25263520
1119,SAMN25263521
1120,SAMN25263522
1121,SAMN25263523
1122,SAMN25263524
1123,SAMN25263525
1124,SAMN25263526
1125,SAMN25263527
1126,SAMN25263528
1127,SAMN25263529
1128,SAMN25263530
1129,SAMN25263531
1130,SAMN25263532
1131,SAMN25263533
1132,SAMN25263534
1133,SAMN25263535
1134,SAMN25263536
1135,SAMN25263537
1136,SAMN25263538
1137,SAMN25263539
1138,SAMN00265087
1139,SAMN02597090
1140,SAMN02597092
1141,SAMN02597094
1142,SAMN02597096
1143,SAMN02597098
1144,SAMN02597100
1145,SAMN02597102
1146,SAMN02597104
1147,SAMN02644812
1148,SAMN02644813
1149,SAMN02644814
1150,SAMN02644815
1151,SAMN02644816
1152,SAMN03281023
1153,SAMN03281024
1154,SAMN06017460
1155,SAMN09227257
1156,SAMN09227258
1157,SAMN09690611
1158,SAMN09690613
1159,SAMN09690616
1160,SAMN09690618
1161,SAMN09690621
1162,SAMN09690623
1163,SAMN09690626
1164,SAMN09690628
1165,SAMN11513545
1166,SAMN11513546
1167,SAMN11513547
1168,SAMN12671272
1169,SAMN14858278
1170,SAMN14858279
1171,SAMN14858280
1172,SAMN14858281
1173,SAMN16782946
1174,SAMN16784670
1175,SAMN16785328
1176,SAMN16785329
1177,SAMN16786536
1178,SAMN16786537
1179,SAMN16807200
1180,SAMN16807201
1181,SAMN16825487
1182,SAMN16825488
1183,SAMN19588559
1184,SAMN19588560
1185,SAMN20525652
1186,SAMN20525653
1187,SAMN20525659
1188,SAMN20525660
1189,SAMN00265076
1190,SAMN02324424
1191,SAMN02046324
1192,SAMN02046325
1193,SAMN02046327
1194,SAMN02799120
1195,SAMN02799123
1196,SAMN02799125
1197,SAMN02799126
1198,SAMN02799127
1199,SAMN02799128
1200,SAMN02799129
1201,SAMN02799131
1202,SAMN02799132
1203,SAMN02799137
1204,SAMN02799139
1205,SAMN02047222
1206,SAMN02047223
1207,SAMN02047224
1208,SAMN02047225
1209,SAMN02047226
1210,SAMN02047227
1211,SAMN02047228
1212,SAMN02047229
1213,SAMN02047230
1214,SAMN02047231
1215,SAMN02047232
1216,SAMN02047233
1217,SAMN02047234
1218,SAMN02047235
1219,SAMN02047236
1220,SAMN02047237
1221,SAMN02047238
1222,SAMN02047239
1223,SAMN02047240
1224,SAMN02047241
1225,SAMN02047242
1226,SAMN02047243
1227,SAMN02047244
1228,SAMN02047245
1229,SAMN02047246
1230,SAMN02047247
1231,SAMN02047248
1232,SAMN02047249
1233,SAMN02047250
1234,SAMN02047251
1235,SAMN02746728
1236,SAMN02746920
1237,SAMN02747070
1238,SAMN02746748
1239,SAMN02746749
1240,SAMN02746753
1241,SAMN02776932
1242,SAMN02776933
1243,SAMN02776934
1244,SAMN02776935
1245,SAMN02776937
1246,SAMN02776942
1247,SAMN05258394
1248,SAMN05258395
1249,SAMN05258396
1250,SAMN05258397
1251,SAMN05258398
1252,SAMN05258399
1253,SAMN05258400
1254,SAMN05258401
1255,SAMN05258402
1256,SAMN05258403
1257,SAMN06285396
1258,SAMN06285408
1259,SAMN06285409
1260,SAMN06285410
1261,SAMN06285411
1262,SAMN06285412
1263,SAMN06285413
1264,SAMN06285414
1265,SAMN06285415
1266,SAMN06285437
1267,SAMN06285438
1268,SAMN06285439
1269,SAMN06285440
1270,SAMN06285441
1271,SAMN06285457
1272,SAMN07147966
1273,SAMN07147967
1274,SAMN07147968
1275,SAMN07188001
1276,SAMN07188002
1277,SAMN07188003
1278,SAMN07188079
1279,SAMN07188080
1280,SAMN07188081
1281,SAMN07188082
1282,SAMN07188083
1283,SAMN07188336
1284,SAMN07188337
1285,SAMN07188338
1286,SAMN07188339
1287,SAMN08903389
1288,SAMN08903392
1289,SAMN08903393
1290,SAMN08903394
1291,SAMN08903395
1292,SAMN08903396
1293,SAMN08903397
1294,SAMN08903398
1295,SAMN08903399
1296,SAMN08903400
1297,SAMN08903401
1298,SAMN08903402
1299,SAMN08903403
1300,SAMN08903404
1301,SAMN08903405
1302,SAMN10581535
1303,SAMN10581536
1304,SAMN10581538
1305,SAMN16427373
1306,SAMN16427377
1307,SAMN16427381
1308,SAMN16427385
1309,SAMN16427389
1310,SAMN16427393
1311,SAMN16427397
1312,SAMN16725449
1313,SAMN16725450
1314,SAMN16725451
1315,SAMN16725452
1316,SAMN16725453
1317,SAMN16725454
1318,SAMN16725455
1319,SAMN22371165
1320,SAMN22371166
1321,SAMN22371167
1322,SAMN22371168
1323,SAMN22371169
1324,SAMN22371170
1325,SAMN22371171
1326,SAMN22371172
1327,SAMN22371173
1328,SAMN22371174
1329,SAMN22371175
1330,SAMN22371176
1331,SAMN22371177
1332,SAMN22371178
1333,SAMN22371179
1334,SAMN22371180
1335,SAMN22371181
1336,SAMN22371182
1337,SAMN22371183
1338,SAMN22371184
1339,SAMN22371185
1340,SAMN22371186
1341,SAMN22371187
1342,SAMN22371188
1343,SAMN22371189
1344,SAMN22371190
1345,SAMN22371191
1346,SAMN22371192
1347,SAMN22371193
1348,SAMN22371194
1349,SAMN22371195
1350,SAMN22371196
1351,SAMN22371197
1352,SAMN22371198
1353,SAMN22371199
1354,SAMN22371200
1355,SAMN00264986
1356,SAMN00264987
1357,SAMN00264989
1358,SAMN00769650
1359,SAMN01819907
1360,SAMN01819908
1361,SAMN01819909
