Control/Treated,BioSample
,SAMN37387624
,SAMN37387623
,SAMN37387622
,SAMN37387621
,SAMN37387603
,SAMN37387620
,SAMN37387619
,SAMN37387618
,SAMN37387617
,SAMN37387616
,SAMN37387615
,SAMN37387614
,SAMN37387613
,SAMN37387612
,SAMN37387611
,SAMN37387602
,SAMN37387601
,SAMN35528417
,SAMN35528416
,SAMN35528415
,SAMN35528414
,SAMN35528413
,SAMN35528412
,SAMN35528411
,SAMN35528410
,SAMN35528419
,SAMN35528418
,SAMN35528409
,SAMN35528408
,SAMN38912913
,SAMN38912919
,SAMN38848325
,SAMN38848325
,SAMN38848325
,SAMN38848325
,SAMN32613975
,SAMN32613974
,SAMN32613973
,SAMN32613972
,SAMN32613971
,SAMN32613970
,SAMN39205593
,SAMN39205591
,SAMN39205589
,SAMN39205587
,SAMN39205585
,SAMN39205583
,SAMN39205581
,SAMN39205293
,SAMN39205578
,SAMN39205577
,SAMN39205575
,SAMN39205573
,SAMN39205571
,SAMN39205569
,SAMN39205567
,SAMN39205565
,SAMN39205505
,SAMN39205503
,SAMN39205501
,SAMN39205285
,SAMN39205499
,SAMN39205497
,SAMN39205495
,SAMN39205493
,SAMN39205491
,SAMN39205487
,SAMN39205489
,SAMN39205485
,SAMN39205483
,SAMN39205481
,SAMN39205283
,SAMN39205479
,SAMN39205313
,SAMN39205311
,SAMN39205307
,SAMN39205309
,SAMN39205305
,SAMN39205303
,SAMN39205301
,SAMN39205265
,SAMN39205299
,SAMN39205297
,SAMN39205603
,SAMN39205601
,SAMN39205295
,SAMN39205599
,SAMN39205597
,SAMN39205595
,SAMN39205419
,SAMN39205417
,SAMN39205415
,SAMN39205413
,SAMN39205411
,SAMN39205409
,SAMN39205407
,SAMN39205405
