biosample,estres,tejido
SAMN03784697,heat,leave
SAMN03785538,control,leave
SAMN03793157,,leave
SAMN03793158,,leave
SAMN03797939,control,leaf
SAMN03797950,drought,leaf
SAMN03797951,control,leaf
SAMN03797952,drought,leaf
SAMN04125385,control,root
SAMN04125386,control,root
SAMN04125387,control,root
SAMN04125388,control,root
SAMN04125389,drought,root
SAMN04125390,drought,root
SAMN04125391,drought,root
SAMN04125392,drought,root
SAMN04281009,,seed
SAMN04338521,,leaf
SAMN04338522,,leaf
SAMN04338523,,leaf
SAMN04338524,,leaf
SAMN04349708,,root
SAMN04349709,,root
SAMN04349710,,root
SAMN04349711,,root
SAMN04349712,,root
SAMN04349713,,root
SAMN04349714,,root
SAMN04349715,,root
SAMN04349716,,root
SAMN04349717,,root
SAMN04349718,,root
SAMN04349719,,root
SAMN04349720,,root
SAMN04349721,,root
SAMN04349722,,root
SAMN04349723,,root
SAMN04349724,,root
SAMN04349725,,root
SAMN04349726,,root
SAMN04349727,,root
SAMN04349728,,root
SAMN04349729,,root
SAMN04349730,,root
SAMN04349731,,root
SAMN04362176,,root
SAMN04364218,,root
SAMN04364219,,root
SAMN04364220,,root
SAMN04364221,,root
SAMN04364222,,root
SAMN04364223,,root
SAMN04364224,,root
SAMN04364225,,root
SAMN04364226,,root
SAMN04364228,,root
SAMN04364229,,root
SAMN04366601,,seed
SAMN04376689,,seed
SAMN04376690,,seed
SAMN04376692,,seed
SAMN04376693,,seed
SAMN04376695,,seed
SAMN04388405,,leave
SAMN04447888,,root
SAMN04447889,,root
SAMN04447890,,root
SAMN04447891,,root
SAMN04563582,,seed
SAMN04563583,,seed
SAMN04563584,,seed
SAMN04563585,,seed
SAMN04563586,,seed
SAMN04563587,,seed
SAMN04563588,,seed
SAMN04563589,,seed
SAMN04563590,,seed
SAMN04563591,,seed
SAMN04563592,,seed
SAMN04563593,,seed
SAMN04563594,,seed
SAMN04563595,,seed
SAMN04563596,,seed
SAMN04563597,,seed
SAMN04563598,,seed
SAMN04563599,,seed
SAMN04563600,,seed
SAMN04563601,,seed
SAMN04811513,,root
SAMN04811539,,root
SAMN04811569,,root
SAMN04811577,,root
SAMN04811604,,root
SAMN04932637,,leaf
SAMN04932638,,root
SAMN04932639,,stem
SAMN04932640,,leaf
SAMN04932641,,root
SAMN04932642,,stem
SAMN04932643,control,leaf
SAMN04932644,control,root
SAMN04932645,control,stem
SAMN04932646,,leaf
SAMN04932647,,root
SAMN04932648,,stem
SAMN05076085,,leaf
SAMN05076321,,leaf
SAMN05076343,,leaf
SAMN05076349,,leaf
SAMN05150259,,leaf
SAMN05150261,,leaf
SAMN05150262,control,leaf
SAMN05150263,control,leaf
SAMN05150264,control,leaf
SAMN05150266,control,leaf
SAMN05150267,control,
SAMN05150268,control,leaf
SAMN05202575,inoculated,stem
SAMN05202576,inoculated,stem
SAMN05207283,,leaf
SAMN05223294,,seed
SAMN05223295,,seed
SAMN05223296,,seed
SAMN05223297,,seed
SAMN05223298,,seed
SAMN05223299,,seed
SAMN05223300,,seed
SAMN05223301,,seed
SAMN05223302,,seed
SAMN05223303,,seed
SAMN05223304,,seed
SAMN05223305,,seed
SAMN05223306,,seed
SAMN05223307,,seed
SAMN05223308,,seed
SAMN05223309,,seed
SAMN05223310,,seed
SAMN05223311,,seed
SAMN05258394,,embryo
SAMN05258395,,embryo
SAMN05258396,,embryo
SAMN05258397,,embryo
SAMN05258398,,embryo
SAMN05258399,,embryo
SAMN05258400,,embryo
